source,target,weight
138,212,7.0
138,213,5.0
138,219,9.0
138,225,5.0
138,233,4.0
138,234,3.0
138,241,6.0
138,242,6.0
138,246,2.0
138,257,3.0
138,262,26.0
138,268,3.0
138,274,3.0
138,275,3.0
138,276,2.0
138,277,5.0
138,289,6.0
138,291,4.0
138,294,3.0
138,296,3.0
138,299,2.0
138,300,3.0
138,304,3.0
138,305,3.0
138,307,3.0
138,308,3.0
138,309,3.0
138,312,4.0
138,317,3.0
138,318,4.0
138,320,3.0
138,322,3.0
138,323,3.0
138,324,3.0
138,328,3.0
138,333,3.0
138,336,3.0
138,337,3.0
138,339,3.0
138,340,3.0
138,349,4.0
138,350,3.0
138,351,3.0
138,352,3.0
138,353,3.0
138,354,2.0
138,357,3.0
138,358,5.0
138,362,3.0
138,364,55.0
138,365,2.0
138,366,3.0
138,367,5.0
138,368,3.0
138,370,3.0
138,373,3.0
138,375,5.0
138,377,9.0
138,379,8.0
138,380,8.0
138,381,5.0
138,382,7.0
138,384,5.0
138,385,3.0
138,386,3.0
138,388,31.0
138,389,4.0
138,394,3.0
138,403,2.0
138,421,3.0
138,422,3.0
138,423,5.0
138,424,3.0
138,427,5.0
138,428,5.0
138,432,7.0
138,433,7.0
138,439,3.0
138,440,9.0
138,454,3.0
138,456,3.0
138,459,9.0
138,461,3.0
138,463,5.0
138,465,12.0
138,470,2.0
138,472,2.0
138,475,3.0
138,476,3.0
138,477,5.0
138,478,3.0
138,479,4.0
138,483,2.0
138,484,3.0
138,489,3.0
138,494,3.0
138,497,6.0
138,498,3.0
138,499,57.0
138,500,3.0
138,501,3.0
138,504,5.0
138,505,3.0
138,507,4.0
138,508,4.0
138,510,2.0
138,511,3.0
138,515,5.0
138,517,3.0
138,520,3.0
138,522,8.0
138,528,2.0
138,531,2.0
138,532,3.0
138,535,7.0
138,538,5.0
138,539,3.0
138,545,3.0
138,546,3.0
138,549,12.0
138,550,3.0
138,551,3.0
138,559,3.0
138,560,7.0
138,563,3.0
138,565,2.0
138,568,3.0
138,570,5.0
138,571,4.0
138,576,6.0
138,579,7.0
138,583,4.0
138,590,3.0
138,591,2.0
138,592,3.0
138,597,3.0
138,598,3.0
138,600,4.0
138,601,3.0
138,607,3.0
138,614,3.0
138,617,4.0
138,618,2.0
138,619,3.0
138,620,3.0
138,622,3.0
138,625,2.0
138,626,3.0
138,627,3.0
138,630,3.0
138,631,3.0
138,632,3.0
138,633,3.0
138,634,2.0
138,635,5.0
138,638,3.0
138,640,3.0
138,643,3.0
138,646,10.0
138,647,3.0
138,648,5.0
138,650,8.0
138,651,3.0
138,652,3.0
138,664,3.0
138,665,10.0
138,674,16.0
138,677,3.0
138,685,5.0
138,689,3.0
138,690,3.0
138,691,3.0
138,692,3.0
138,697,3.0
138,700,23.0
138,702,3.0
138,720,8.0
138,721,3.0
138,738,7.0
138,747,2.0
138,776,2.0
138,779,2.0
138,868,5.0
138,974,5.0
138,979,3.0
138,1056,3.0
138,1065,5.0
138,1073,5.0
138,1087,2.0
138,1100,5.0
138,1104,5.0
138,1124,2.0
138,1130,5.0
138,1155,5.0
138,1157,19.0
138,1189,3.0
138,1269,4.0
138,1276,4.0
138,1294,5.0
138,1469,2.0
138,1701,5.0
138,1797,18.0
138,2041,3.0
138,2247,10.0
138,2250,2.0
138,2311,5.0
138,2388,5.0
138,2496,5.0
138,2745,6.0
138,2798,4.0
138,2840,5.0
138,2853,2.0
138,2915,12.0
150,15,6.0
150,23,50.0
150,29,44.0
150,32,57.0
150,36,111.0
150,47,11.0
150,49,7.0
150,66,20.0
150,78,5.0
150,82,7.0
150,87,4.0
150,97,6.0
150,129,22.0
150,135,3.0
150,138,177.0
150,148,2.0
150,151,3.0
150,152,22.0
150,155,3.0
150,158,3.0
150,160,9.0
150,164,27.0
150,173,5.0
150,175,75.0
150,178,6.0
150,179,4.0
150,183,3.0
150,184,3.0
150,185,3.0
150,189,3.0
150,190,18.0
150,194,5.0
150,201,5.0
150,202,5.0
150,206,3.0
150,211,3.0
150,215,3.0
150,220,3.0
150,223,5.0
150,224,3.0
150,225,14.0
150,227,3.0
150,228,3.0
150,231,5.0
150,236,3.0
150,237,5.0
150,240,5.0
150,243,3.0
150,244,3.0
150,247,3.0
150,248,3.0
150,250,3.0
150,252,3.0
150,253,3.0
150,255,3.0
150,258,3.0
150,260,3.0
150,261,3.0
150,265,3.0
150,266,3.0
150,267,3.0
150,279,3.0
150,281,3.0
150,283,3.0
150,286,3.0
150,287,3.0
150,288,3.0
150,296,6.0
150,298,3.0
150,303,3.0
150,311,3.0
150,313,3.0
150,316,3.0
150,317,3.0
150,318,2.0
150,325,3.0
150,326,3.0
150,327,3.0
150,328,3.0
150,330,3.0
150,331,3.0
150,334,3.0
150,345,3.0
150,346,3.0
150,356,3.0
150,359,3.0
150,382,4.0
150,383,3.0
150,388,4.0
150,389,2.0
150,393,3.0
150,395,3.0
150,396,3.0
150,398,3.0
150,399,5.0
150,401,3.0
150,407,3.0
150,408,3.0
150,409,3.0
150,412,3.0
150,414,3.0
150,415,3.0
150,416,3.0
150,417,3.0
150,418,3.0
150,419,3.0
150,420,3.0
150,426,3.0
150,432,7.0
150,433,4.0
150,443,3.0
150,446,3.0
150,453,3.0
150,467,3.0
150,470,2.0
150,473,3.0
150,479,4.0
150,480,3.0
150,481,3.0
150,491,3.0
150,492,3.0
150,493,3.0
150,496,3.0
150,499,87.0
150,503,3.0
150,508,71.0
150,509,3.0
150,510,5.0
150,513,4.0
150,514,3.0
150,515,2.0
150,516,3.0
150,519,3.0
150,521,3.0
150,522,8.0
150,525,3.0
150,526,3.0
150,541,2.0
150,542,3.0
150,543,3.0
150,549,10.0
150,553,3.0
150,554,3.0
150,567,3.0
150,571,9.0
150,582,3.0
150,583,4.0
150,594,3.0
150,613,3.0
150,616,3.0
150,617,4.0
150,629,5.0
150,636,5.0
150,646,7.0
150,649,3.0
150,650,9.0
150,665,2.0
150,673,3.0
150,674,37.0
150,679,3.0
150,680,3.0
150,682,3.0
150,686,3.0
150,687,3.0
150,693,6.0
150,694,3.0
150,695,3.0
150,696,5.0
150,698,3.0
150,699,3.0
150,700,13.0
150,706,5.0
150,707,2.0
150,711,3.0
150,713,3.0
150,715,3.0
150,716,3.0
150,717,3.0
150,720,34.0
150,722,3.0
150,723,3.0
150,724,5.0
150,728,9.0
150,741,3.0
150,743,3.0
150,754,5.0
150,758,5.0
150,772,2.0
150,774,4.0
150,775,5.0
150,776,2.0
150,794,11.0
150,806,3.0
150,812,4.0
150,824,3.0
150,826,3.0
150,828,5.0
150,831,3.0
150,834,3.0
150,838,3.0
150,839,3.0
150,840,3.0
150,842,3.0
150,849,3.0
150,855,3.0
150,859,3.0
150,864,12.0
150,866,17.0
150,867,3.0
150,873,3.0
150,876,3.0
150,882,3.0
150,883,3.0
150,884,3.0
150,892,3.0
150,895,3.0
150,896,3.0
150,899,3.0
150,905,2.0
150,907,3.0
150,908,3.0
150,913,3.0
150,919,3.0
150,920,3.0
150,922,3.0
150,926,4.0
150,933,3.0
150,936,20.0
150,940,3.0
150,944,3.0
150,956,3.0
150,968,3.0
150,969,3.0
150,975,3.0
150,976,3.0
150,979,5.0
150,980,5.0
150,983,7.0
150,988,3.0
150,991,3.0
150,1003,4.0
150,1007,7.0
150,1008,3.0
150,1015,5.0
150,1017,3.0
150,1022,3.0
150,1029,3.0
150,1032,3.0
150,1033,3.0
150,1034,3.0
150,1038,3.0
150,1039,3.0
150,1040,3.0
150,1043,5.0
150,1045,3.0
150,1047,3.0
150,1048,5.0
150,1049,5.0
150,1052,5.0
150,1055,8.0
150,1056,15.0
150,1060,5.0
150,1066,6.0
150,1067,8.0
150,1073,2.0
150,1079,3.0
150,1091,5.0
150,1097,6.0
150,1101,3.0
150,1102,4.0
150,1104,4.0
150,1123,5.0
150,1129,3.0
150,1157,2.0
150,1242,5.0
150,1277,4.0
150,1287,12.0
150,1583,8.0
150,1620,6.0
150,1673,4.0
150,1720,2.0
150,1721,2.0
150,1726,2.0
150,1734,4.0
150,1740,2.0
150,1786,6.0
150,1797,4.0
150,1927,5.0
150,2136,4.0
150,2780,2.0
152,150,2.0
154,138,2.0
160,138,4.0
160,508,4.0
164,23,2.0
164,29,75.0
164,32,10.0
164,66,14.0
164,82,5.0
164,104,2.0
164,138,27.0
164,150,72.0
164,168,8.0
164,175,10.0
164,179,4.0
164,221,3.0
164,222,3.0
164,241,3.0
164,380,5.0
164,499,25.0
164,574,2.0
164,583,2.0
164,623,2.0
164,634,7.0
164,636,4.0
164,666,2.0
164,704,2.0
164,772,3.0
164,810,26.0
164,815,5.0
164,850,4.0
164,878,3.0
164,885,2.0
164,886,14.0
164,890,3.0
164,900,3.0
164,902,7.0
164,945,2.0
164,1003,14.0
164,1065,2.0
164,1276,6.0
164,1532,12.0
164,2136,2.0
169,172,2.0
175,32,14.0
175,36,138.0
175,123,3.0
175,138,26.0
175,150,62.0
175,164,8.0
175,179,2.0
175,411,3.0
175,499,30.0
175,508,4.0
175,539,2.0
175,547,3.0
175,549,8.0
175,580,4.0
175,646,2.0
195,194,2.0
196,195,2.0
208,276,2.0
208,380,2.0
223,224,2.0
225,499,6.0
225,700,4.0
225,722,4.0
225,1184,2.0
225,1255,6.0
225,1490,2.0
225,1631,2.0
225,1673,2.0
225,2109,2.0
225,2113,8.0
225,2296,2.0
225,2388,2.0
225,2404,4.0
225,2406,2.0
225,2413,2.0
225,2512,6.0
225,2699,2.0
225,2721,8.0
225,2777,2.0
225,2911,2.0
225,3171,6.0
225,3174,6.0
225,3209,14.0
225,3324,2.0
225,3614,2.0
225,3631,4.0
225,3649,2.0
225,3722,6.0
225,3743,8.0
225,3762,2.0
225,3814,2.0
225,3878,2.0
225,3885,2.0
225,4021,2.0
225,4035,2.0
225,4036,2.0
225,4099,6.0
225,4139,2.0
225,4154,2.0
225,4201,4.0
225,4204,2.0
225,4208,2.0
225,4210,2.0
225,4269,6.0
236,240,4.0
238,469,2.0
241,240,6.0
299,1057,2.0
323,515,2.0
332,36,2.0
354,499,6.0
354,2303,10.0
367,361,2.0
381,364,2.0
388,138,34.0
388,389,4.0
388,714,2.0
393,138,2.0
423,312,4.0
444,1248,2.0
472,474,2.0
499,23,56.0
499,29,192.0
499,32,6.0
499,36,12.0
499,66,48.0
499,82,12.0
499,87,4.0
499,120,10.0
499,129,52.0
499,138,94.0
499,150,310.0
499,164,44.0
499,175,104.0
499,190,91.0
499,205,4.0
499,225,32.0
499,262,8.0
499,302,5.0
499,423,2.0
499,431,3.0
499,447,3.0
499,457,3.0
499,459,6.0
499,463,2.0
499,464,3.0
499,465,21.0
499,466,6.0
499,469,2.0
499,470,9.0
499,477,2.0
499,479,7.0
499,495,7.0
499,497,8.0
499,508,37.0
499,510,4.0
499,513,5.0
499,515,2.0
499,522,22.0
499,528,7.0
499,531,5.0
499,539,5.0
499,541,5.0
499,549,14.0
499,550,2.0
499,556,3.0
499,557,25.0
499,558,5.0
499,560,6.0
499,566,5.0
499,571,7.0
499,574,7.0
499,579,30.0
499,580,23.0
499,583,9.0
499,584,3.0
499,591,7.0
499,600,16.0
499,617,7.0
499,618,7.0
499,629,8.0
499,634,2.0
499,636,4.0
499,639,2.0
499,642,5.0
499,644,3.0
499,645,3.0
499,646,9.0
499,649,2.0
499,650,21.0
499,653,3.0
499,655,4.0
499,656,3.0
499,658,3.0
499,660,9.0
499,662,5.0
499,665,10.0
499,666,10.0
499,667,5.0
499,674,93.0
499,675,7.0
499,693,7.0
499,700,16.0
499,704,22.0
499,708,4.0
499,722,7.0
499,739,3.0
499,740,2.0
499,742,2.0
499,749,3.0
499,755,3.0
499,756,2.0
499,757,3.0
499,759,3.0
499,760,11.0
499,761,3.0
499,762,7.0
499,768,5.0
499,769,2.0
499,770,7.0
499,772,21.0
499,773,6.0
499,774,3.0
499,776,8.0
499,778,5.0
499,779,2.0
499,780,5.0
499,786,2.0
499,790,5.0
499,793,3.0
499,794,26.0
499,796,3.0
499,800,3.0
499,801,6.0
499,803,3.0
499,805,3.0
499,810,12.0
499,812,15.0
499,820,3.0
499,823,3.0
499,827,3.0
499,828,5.0
499,832,3.0
499,837,5.0
499,843,3.0
499,844,3.0
499,845,3.0
499,848,3.0
499,852,3.0
499,853,3.0
499,862,3.0
499,866,13.0
499,868,2.0
499,870,6.0
499,880,3.0
499,885,7.0
499,886,11.0
499,897,5.0
499,905,3.0
499,912,5.0
499,916,7.0
499,918,5.0
499,923,5.0
499,924,3.0
499,925,5.0
499,926,4.0
499,927,3.0
499,928,10.0
499,929,3.0
499,930,3.0
499,931,3.0
499,934,3.0
499,939,3.0
499,946,5.0
499,947,3.0
499,957,11.0
499,959,2.0
499,966,3.0
499,971,5.0
499,974,2.0
499,977,3.0
499,978,5.0
499,982,3.0
499,983,4.0
499,984,7.0
499,985,3.0
499,986,4.0
499,987,5.0
499,992,3.0
499,993,3.0
499,994,3.0
499,999,5.0
499,1000,5.0
499,1001,10.0
499,1002,10.0
499,1003,19.0
499,1004,3.0
499,1007,8.0
499,1009,11.0
499,1012,3.0
499,1013,3.0
499,1014,5.0
499,1019,3.0
499,1020,5.0
499,1023,3.0
499,1024,3.0
499,1025,5.0
499,1026,3.0
499,1027,5.0
499,1030,3.0
499,1035,3.0
499,1036,5.0
499,1037,3.0
499,1041,3.0
499,1051,4.0
499,1052,2.0
499,1053,5.0
499,1054,2.0
499,1056,26.0
499,1057,2.0
499,1058,4.0
499,1067,7.0
499,1109,3.0
499,1116,4.0
499,1124,5.0
499,1133,5.0
499,1134,7.0
499,1135,5.0
499,1143,2.0
499,1155,4.0
499,1157,6.0
499,1172,2.0
499,1244,2.0
499,1276,11.0
499,1287,26.0
499,1320,5.0
499,1485,5.0
499,1490,6.0
499,1595,4.0
499,1596,4.0
499,1620,2.0
499,1637,2.0
499,1673,51.0
499,1677,5.0
499,1683,4.0
499,1701,103.0
499,1707,7.0
499,1708,5.0
499,1712,5.0
499,1718,2.0
499,1723,54.0
499,1730,3.0
499,1759,2.0
499,1765,5.0
499,1766,2.0
499,1769,8.0
499,1773,5.0
499,1774,2.0
499,1775,7.0
499,1777,5.0
499,1778,7.0
499,1779,7.0
499,1780,7.0
499,1781,7.0
499,1782,7.0
499,1783,7.0
499,1784,13.0
499,1790,2.0
499,1791,6.0
499,1797,8.0
499,1801,4.0
499,1802,2.0
499,1803,4.0
499,1807,13.0
499,1808,5.0
499,1810,7.0
499,1812,5.0
499,1813,4.0
499,1814,5.0
499,1815,2.0
499,1817,5.0
499,1818,13.0
499,1830,5.0
499,1833,3.0
499,1834,2.0
